 #   I      PAC(ITL)         (I-1)/NPM1           I/NPM1            PAC(ITU)            PAC(I)
    1  0.000000   0.00000000000E+00   0.007874   0.009551   0.000000
    2  0.007050   7.87401574803E-03   0.015748   0.018718   0.000260
    3  0.014479   1.57480314961E-02   0.023622   0.026833   0.000559
    4  0.021172   2.36220472441E-02   0.031496   0.037486   0.000902
    5  0.030078   3.14960629921E-02   0.039370   0.046248   0.001294
    6  0.037486   3.93700787402E-02   0.047244   0.056520   0.001741
    7  0.046248   4.72440944882E-02   0.055118   0.062268   0.002250
    8  0.051186   5.51181102362E-02   0.062992   0.075083   0.002827
    9  0.062268   6.29921259843E-02   0.070866   0.082183   0.003482
   10  0.068450   7.08661417323E-02   0.078740   0.089767   0.004222
   11  0.075083   7.87401574803E-02   0.086614   0.097848   0.005056
   12  0.082183   8.66141732283E-02   0.094488   0.106440   0.005995
   13  0.089767   9.44881889764E-02   0.102362   0.115555   0.007050
   14  0.097848   1.02362204724E-01   0.110236   0.125202   0.008231
   15  0.106440   1.10236220472E-01   0.118110   0.135389   0.009551
   16  0.115555   1.18110236220E-01   0.125984   0.146123   0.011023
   17  0.125202   1.25984251969E-01   0.133858   0.146123   0.012661
   18  0.125202   1.33858267717E-01   0.141732   0.157406   0.014479
   19  0.135389   1.41732283465E-01   0.149606   0.169240   0.016493
   20  0.146123   1.49606299213E-01   0.157480   0.181624   0.018718
   21  0.157406   1.57480314961E-01   0.165354   0.181624   0.021172
   22  0.157406   1.65354330709E-01   0.173228   0.194553   0.023871
   23  0.169240   1.73228346457E-01   0.181102   0.194553   0.026833
   24  0.169240   1.81102362205E-01   0.188976   0.208023   0.030078
   25  0.181624   1.88976377953E-01   0.196850   0.222022   0.033622
   26  0.194553   1.96850393701E-01   0.204724   0.222022   0.037486
   27  0.194553   2.04724409449E-01   0.212598   0.236539   0.041688
   28  0.208023   2.12598425197E-01   0.220472   0.236539   0.046248
   29  0.208023   2.20472440945E-01   0.228346   0.251559   0.051186
   30  0.222022   2.28346456693E-01   0.236220   0.251559   0.056520
   31  0.222022   2.36220472441E-01   0.244094   0.267064   0.062268
   32  0.236539   2.44094488189E-01   0.251969   0.283034   0.068450
