#  Interpolation error = 2.8146680E-08
# Normalising constant = 3.9413096E-01
 #      X             PDF_ex          PDF_ap           err
-3.000000   5.01299798E-03   0.005013   0.000000   
-2.995161   5.08402003E-03   0.005084   0.000022   
-2.990323   5.15593121E-03   0.005156   0.000029   
-2.985484   5.22874080E-03   0.005229   0.000026   
-2.980645   5.30245816E-03   0.005302   0.000016   
-2.975806   5.37709271E-03   0.005377   0.000002   
-2.970968   5.45265395E-03   0.005453   -0.000013   
-2.966129   5.52915145E-03   0.005529   -0.000024   
-2.961290   5.60659485E-03   0.005607   -0.000029   
-2.956452   5.68499384E-03   0.005685   -0.000022   
-2.951613   5.76435821E-03   0.005764   0.000000   
-2.951613   5.76435821E-03   0.005764   0.000000   
-2.946774   5.84469781E-03   0.005845   0.000021   
-2.941935   5.92602254E-03   0.005926   0.000028   
-2.937097   6.00834241E-03   0.006008   0.000025   
-2.932258   6.09166747E-03   0.006092   0.000015   
-2.927419   6.17600784E-03   0.006176   0.000002   
-2.922581   6.26137374E-03   0.006261   -0.000012   
-2.917742   6.34777542E-03   0.006348   -0.000023   
-2.912903   6.43522324E-03   0.006435   -0.000028   
-2.908065   6.52372760E-03   0.006524   -0.000021   
-2.903226   6.61329899E-03   0.006613   -0.000000   
-2.903226   6.61329899E-03   0.006613   0.000000   
-2.898387   6.70394797E-03   0.006704   0.000020   
-2.893548   6.79568515E-03   0.006796   0.000027   
-2.888710   6.88852123E-03   0.006888   0.000024   
-2.883871   6.98246699E-03   0.006982   0.000015   
-2.879032   7.07753325E-03   0.007078   0.000002   
-2.874194   7.17373093E-03   0.007174   -0.000012   
-2.869355   7.27107101E-03   0.007271   -0.000023   
-2.864516   7.36956454E-03   0.007370   -0.000026   
-2.859677   7.46922264E-03   0.007469   -0.000020   
-2.854839   7.57005649E-03   0.007570   0.000000   
-2.854839   7.57005649E-03   0.007570   0.000000   
-2.850000   7.67207737E-03   0.007672   0.000019   
-2.845161   7.77529660E-03   0.007775   0.000026   
-2.840323   7.87972558E-03   0.007880   0.000023   
-2.835484   7.98537580E-03   0.007985   0.000014   
-2.830645   8.09225880E-03   0.008092   0.000001   
-2.825806   8.20038618E-03   0.008200   -0.000012   
-2.820968   8.30976963E-03   0.008310   -0.000022   
-2.816129   8.42042091E-03   0.008421   -0.000025   
-2.811290   8.53235184E-03   0.008533   -0.000019   
-2.806452   8.64557431E-03   0.008646   0.000000   
-2.806452   8.64557431E-03   0.008646   -0.000000   
-2.801613   8.76010028E-03   0.008760   0.000018   
-2.796774   8.87594179E-03   0.008876   0.000025   
-2.791935   8.99311093E-03   0.008993   0.000022   
-2.787097   9.11161988E-03   0.009111   0.000013   
-2.782258   9.23148086E-03   0.009231   0.000001   
-2.777419   9.35270620E-03   0.009353   -0.000011   
-2.772581   9.47530826E-03   0.009476   -0.000021   
-2.767742   9.59929948E-03   0.009600   -0.000024   
-2.762903   9.72469238E-03   0.009725   -0.000019   
-2.758065   9.85149953E-03   0.009851   -0.000000   
-2.758065   9.85149953E-03   0.009851   0.000000   
-2.753226   9.97973357E-03   0.009980   0.000018   
-2.748387   1.01094072E-02   0.010109   0.000024   
-2.743548   1.02405333E-02   0.010240   0.000021   
-2.738710   1.03731245E-02   0.010373   0.000013   
-2.733871   1.05071940E-02   0.010507   0.000001   
-2.729032   1.06427545E-02   0.010643   -0.000011   
-2.724194   1.07798192E-02   0.010780   -0.000020   
-2.719355   1.09184011E-02   0.010919   -0.000023   
-2.714516   1.10585135E-02   0.011059   -0.000018   
-2.709677   1.12001696E-02   0.011200   0.000000   
-2.709677   1.12001696E-02   0.011200   0.000000   
-2.704839   1.13433826E-02   0.011343   0.000017   
-2.700000   1.14881660E-02   0.011488   0.000023   
-2.695161   1.16345331E-02   0.011634   0.000020   
-2.690323   1.17824975E-02   0.011782   0.000012   
-2.685484   1.19320727E-02   0.011932   0.000001   
-2.680645   1.20832723E-02   0.012083   -0.000010   
-2.675806   1.22361099E-02   0.012236   -0.000019   
-2.670968   1.23905994E-02   0.012391   -0.000022   
-2.666129   1.25467545E-02   0.012547   -0.000017   
-2.661290   1.27045891E-02   0.012705   0.000000   
-2.661290   1.27045891E-02   0.012705   -0.000000   
-2.656452   1.28641170E-02   0.012864   0.000016   
-2.651613   1.30253523E-02   0.013025   0.000022   
-2.646774   1.31883090E-02   0.013188   0.000020   
-2.641935   1.33530012E-02   0.013353   0.000012   
-2.637097   1.35194429E-02   0.013519   0.000001   
-2.632258   1.36876485E-02   0.013688   -0.000010   
-2.627419   1.38576322E-02   0.013858   -0.000018   
-2.622581   1.40294082E-02   0.014030   -0.000021   
-2.617742   1.42029911E-02   0.014203   -0.000016   
-2.612903   1.43783950E-02   0.014378   0.000000   
-2.612903   1.43783950E-02   0.014378   0.000000   
-2.608065   1.45556347E-02   0.014555   0.000015   
-2.603226   1.47347245E-02   0.014734   0.000021   
-2.598387   1.49156791E-02   0.014915   0.000019   
-2.593548   1.50985132E-02   0.015098   0.000011   
-2.588710   1.52832412E-02   0.015283   0.000001   
-2.583871   1.54698781E-02   0.015470   -0.000009   
-2.579032   1.56584386E-02   0.015659   -0.000018   
-2.574194   1.58489375E-02   0.015849   -0.000020   
-2.569355   1.60413898E-02   0.016042   -0.000016   
-2.564516   1.62358102E-02   0.016236   -0.000000   
-2.564516   1.62358102E-02   0.016236   0.000000   
-2.559677   1.64322139E-02   0.016432   0.000015   
-2.554839   1.66306157E-02   0.016630   0.000020   
-2.550000   1.68310309E-02   0.016831   0.000018   
-2.545161   1.70334744E-02   0.017033   0.000011   
-2.540323   1.72379615E-02   0.017238   0.000001   
-2.535484   1.74445072E-02   0.017445   -0.000009   
-2.530645   1.76531270E-02   0.017653   -0.000017   
